WORD,CONFIDENCE,Time Duration
even,0.9,19.8
go,0.9,21.6
to,1,30
skim,1,16.8
milk,1,17.4
if,0.8,7.8
you,0.7,5.4
wanted,0.6,22.8
to,0.9,13.8
if,1,6.6
you,0.9,6.6
are,0.2,9
just,0.6,13.8
by,0.6,8.4
the,0.7,5.4
same,0.8,15
though,0.3,12.6
the,0.5,3.6
two,0.8,15.6
she,0.9,13.2
only,0.9,10.8
needs,0.8,14.4
one,0.9,13.8
dose,0.6,18.6
of,0.6,6
flu,0.9,18
vaccine,0.9,31.2
dnmt,0.3,68.4
all,0,32.4
we,0.4,6
actually,0.9,19.8
had,0.5,10.8
our,0.7,5.4
first,0.9,24.6
family,1,21.6
with,0.9,14.4
the,0.7,4.8
flu,0.5,21.6
recently,0.9,37.8
september,0.9,42
yeah,0.7,32.4
dnmt,0.1,72.6
unfortunately,0.7,39
the,0.2,22.2
the,0.9,24
the,0.6,10.8
mother,1,25.2
got,0.5,23.4
it,0.8,16.8
and,1,31.2
she,0.5,14.4
just,0.9,19.2
had,0.7,9
a,0.6,2.4
newborn,0.6,37.8
the,1,5.4
whole,1,9.6
family,0.9,25.8
that,0.8,15
was,0.8,16.2
nnj,0.2,166.8
you,0.8,7.8
know,0.6,10.2
maybe,0,15.6
you,0.9,12.6
could,0.9,23.4
he,0.4,7.8
knew,0.4,15.6
one,0.7,28.2
you,1,8.4
mind,0.4,18
holding,0.8,21.6
her,0.9,20.4
you,0.6,11.4
can,0.9,9.6
you,0.7,4.8
stand,0.9,19.8
with,1,8.4
her,0.9,12
other,0.1,10.8
hand,0.1,10.8
on,1,6.6
your,0.9,6.6
shoulder,0.9,29.4
mn,0.4,91.2
so,0.9,19.8
from,0.7,9.6
one,0.9,11.4
side,0.6,21
nnj,0.3,60.6
i,0.4,9
think,0.2,21.6
the,0.6,4.8
last,0.1,19.2
year,0,9
or,0,13.2
okay,0.1,25.8
why,0.3,12
shouldnt,0.5,94.2
and,0,6
nbsp,0,92.4
leann,0.9,81
its,0.8,12.6
nndb,0.4,75
nndb,0.4,156
you,0.4,7.2
know,0.2,16.2
yes,0.2,16.2
onenote,1,101.4
pn,0.9,93.6
nnat,0.4,183.6
uhhuh,0.1,29.4
nnj,0.2,93
nnat,0.2,97.8
i,0.2,4.2
guess,0.2,13.2
well,0.4,39
youre,0.9,10.8
all,0.5,8.4
downstairs,0,55.2
nndb,0.4,130.8
another,0.7,25.8
bandage,0.1,34.2
dnmt,0.1,85.8
i,0.7,9
happen,0.2,28.2
to,0.5,4.8
me,0.6,24.6
whenever,0.2,26.4
you,0,3.6
know,0.4,18.6
dnmt,0.2,259.8
okay,0.9,22.2
any,1,13.2
other,1,9
questions,1,40.2
mt,0.3,67.2
permits,0.1,26.4
it,0.5,18.6
thank,1,13.2
you,0.9,12
thank,1,18
you,0.6,4.8
thank,1,16.2
you,0.9,4.8
very,1,13.8
much,1,16.8
for,1,7.8
this,0.9,16.2
to,0.9,19.2
christianity,0.5,43.8
